"Ativo","Nome","Classe","Pais Sede","Ativo /|Cancelado","Data do Bal| Mais recente| consolid:sim*","Setor|Economatica","Tipo de Ativo","Bolsa / Fonte","Setor Econômico|Bovespa","ID da|empresa","Código","Setor NAICS|ult disponiv","Subsetor Bovespa","Segmento Bovespa","Segmento listagem|Bovespa"
"CFLU4<XBSP>","Fluminense Refriger","PN","BR","cancelado","2005-09-30","Alimentos e Beb","Ação","Bovespa","-","00326","CFLU4","Indústria de bebidas","-","-","-"
"POPR4<XBSP>","Polipropileno","PN","BR","cancelado","2005-09-30","Química","Ação","Bovespa","-","00967","POPR4","Indústria química","-","-","-"
"PORP4<XBSP>","Polipropileno Parti","PN","BR","cancelado","2005-09-30","Química","Ação","Bovespa","-","01599","PORP4","Indústria química","-","-","-"
"RASL3<XBSP>","Rail Sul","ON","BR","cancelado","2005-09-30","Outros","Ação","Bovespa","-","01594","RASL3","Administração de empresas e empreendimentos","-","-","-"
"SHTM3<XBSP>","Shoptime","ON","BR","cancelado","2005-09-30","Comércio","Ação","Bovespa","-","01548","SHTM3","Vendas por correio ou meio eletrônico","-","-","-"
"CSTB4<XBSP>","Sid Tubarao","PN","BR","cancelado","2005-09-30","Siderur & Metalur","Ação","Bovespa","-","01411","CSTB4","Transformação de aço em produtos de aço","-","-","-"
"SPEL3<XBSP>","Spel Empreendim","ON","BR","cancelado","2005-09-30","Construção","Ação","Bovespa","-","01781","SPEL3","Construção de edifícios residenciais","-","-","-"
"TPEC6B<XBSP>","Tim Nordeste","PNB","BR","cancelado","2005-09-30","Telecomunicações","Ação","Bovespa","-","01707","TPEC6B","Telecomunicações","-","-","-"
"TPRC6<XBSP>","Tim Sul","PNB","BR","cancelado","2005-09-30","Telecomunicações","Ação","Bovespa","-","01722","TPRC6","Telecomunicações","-","-","-"
"SLBR3<XBSP>","Sole Comex","ON","BR","cancelado","2005-06-30","Comércio","Ação","Bovespa","-","01600","SLBR3","Loja de utensílios eletrônicos","-","-","-"
"ALBA3<XBSP>","Albarus","ON","BR","cancelado","2005-03-31","Veiculos e peças","Ação","Bovespa","-","00024","ALBA3","Indústria de autopeças","-","-","-"
"IVEN3<XBSP>","Iven","ON","BR","cancelado","2005-03-31","Energia Elétrica","Ação","Bovespa","-","01438","IVEN3","Geração, transmissão e distribuição de energia elétrica","-","-","-"
"MCWS3<XBSP>","Mcom Wireles","ON","BR","cancelado","2005-03-31","Telecomunicações","Ação","Bovespa","-","01550","MCWS3","Telecomunicações","-","-","-"
"CHAP3<XBSP>","Chapeco","ON","BR","cancelado","2004-12-31","Alimentos e Beb","Ação","Bovespa","-","01024","CHAP3","Abatedouros","-","-","-"
"CMMA4<XBSP>","Cma Part","PN","BR","cancelado","2004-12-31","Outros","Ação","Bovespa","-","01332","CMMA4","TV a cabo","-","-","-"
"CSPC4<XBSP>","Cosipa","PN","BR","cancelado","2004-12-31","Siderur & Metalur","Ação","Bovespa","-","01831","CSPC4","Transformação de aço em produtos de aço","-","-","-"
"ECIS3<XBSP>","Ecisa","ON","BR","cancelado","2004-12-31","Construção","Ação","Bovespa","-","00533","ECIS3","Construção de edifícios não residenciais","-","-","-"
"MTDO3<XBSP>","Metodo Engenharia","ON","BR","cancelado","2004-12-31","Construção","Ação","Bovespa","-","01787","MTDO3","Construção","-","-","-"
"SALM3<XBSP>","Seara Alim","ON","BR","cancelado","2004-12-31","Alimentos e Beb","Ação","Bovespa","-","01819","SALM3","Abatedouros","-","-","-"
"TCHN4<XBSP>","Technos Rel","PN","BR","cancelado","2004-12-31","Outros","Ação","Bovespa","-","01116","TCHN4","Outras indústrias","-","-","-"
"APPA3<XBSP>","A P Participacoes","ON","BR","cancelado","2004-09-30","Outros","Ação","Bovespa","-","01680","APPA3","Administração de empresas e empreendimentos","-","-","-"
"MSAN3<XBSP>","Bunge Brasil","ON","BR","cancelado","2004-06-30","Alimentos e Beb","Ação","Bovespa","-","01027","MSAN3","Indústria de alimentos","-","-","-"
"ARPS3<XBSP>","Douat Textil","ON","BR","cancelado","2004-06-30","Textil","Ação","Bovespa","-","01136","ARPS3","Indústria de tecidos para móveis","-","-","-"
"TNEP3<XBSP>","Tele Nordeste Celul","ON","BR","cancelado","2004-06-30","Telecomunicações","Ação","Bovespa","-","01766","TNEP3","Telecomunicações","-","-","-"
"VASP3<XBSP>","Vasp","ON","BR","cancelado","2004-06-30","Transporte Serviç","Ação","Bovespa","-","01170","VASP3","Transporte aéreo regular","-","-","-"
"BSUL5<XBSP>","Bahia Sul","PNA","BR","cancelado","2004-03-31","Papel e Celulose","Ação","Bovespa","-","01398-old","BSUL5","Indústria de papel, celulose e papelão","-","-","-"
"ICPI3<XBSP>","Cim Itau","ON","BR","cancelado","2004-03-31","Minerais não Met","Ação","Bovespa","-","00293","ICPI3","Indústria de cimento e produtos de concreto","-","-","-"
"REPA4<XBSP>","Electrolux","PN","BR","cancelado","2004-03-31","Eletroeletrônicos","Ação","Bovespa","-","01000","REPA4","Indústria de eletrodomésticos","-","-","-"
"ILLS4<XBSP>","Linhas Circulo","PN","BR","cancelado","2004-03-31","Textil","Ação","Bovespa","-","00705","ILLS4","Indústria de fios","-","-","-"
"GALO4<XBSP>","Maio Gallo","PN","BR","cancelado","2004-03-31","Veiculos e peças","Ação","Bovespa","-","00508","GALO4","Indústria de autopeças","-","-","-"
"LATS3<XBSP>","Rexam Bcsa","ON","BR","cancelado","2004-03-31","Siderur & Metalur","Ação","Bovespa","-","01625","LATS3","Indústria de produtos de metal","-","-","-"
"CREM4-old<XBSP>","Cremer (Antiga)","PN","BR","cancelado","2003-12-31","Textil","Ação","Bovespa","-","00496","CREM4-old","Tecelagens","-","-","-"
"DJON4<XBSP>","Dijon","PN","BR","cancelado","2003-12-31","Outros","Ação","Bovespa","-","01383","DJON4","Outros serviços (exceto administração pública)","-","-","-"
"BERG3<XBSP>","Bergamo","ON","BR","cancelado","2003-09-30","Outros","Ação","Bovespa","-","00165","BERG3","Indústria de produtos de madeira compensada e afins","-","-","-"
