"Ativo","Nome","Código","Ativo Tot| < Jun 2017| personalizado| consolid:sim*","Imobil| < Jun 2017| personalizado| consolid:sim*","Lucro Liquido| < Jun 2017| personalizado| no exercício| consolid:sim*","PasCir| < Jun 2017| personalizado| consolid:sim*","PasNoCir| < Jun 2017| personalizado| consolid:sim*","Receita| < Jun 2017| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Jun 2017| personalizado| no exercício| consolid:sim*","DeprAmor| < Jun 2017| personalizado| no exercício| consolid:sim*","Depr e Amor| < Jun 2017| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Jun 2017| personalizado| consolid:sim*","DpInCP| < Jun 2017| personalizado| consolid:sim*","DivPag| < Jun 2017| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Jun17","Dividendos| < Jun 2017| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Jun17|1 tri","Divid por Ação|30Jun17|1 tri","Patrim Liq| < Jun 2017| personalizado| consolid:sim*","Valor Mercado|da empresa|30Jun17|personalizado","DesFin| < Jun 2017| personalizado| no exercício| consolid:sim*","LucOpe| < Jun 2017| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Jun 2017| personalizado| no exercício| consolid:sim*","EBIT| < Jun 2017| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Jun 2017| de 12 meses| consolid:sim*","EBIT/FinB| < Jun 2017| de 12 meses| consolid:sim*","Fechamento|30Jun17|ajus p/prov ed"
"BIOM3<XBSP>","Biomm","BIOM3",271373199.11,167765331.37,-23340506.428,29579262.125,157847902.91,0,"-",235840.61455,480497.70068,18545447.952,"-",0,35309000,"-",0,0,83946034.074,381343473.56,8566304.1913,"-","-",-20494990.228,8.9804389313,-2.0669851205,10.416889914
"GBIO33<XBSP>","Biotoscana","GBIO33",1006795255.2,34422416.657,24455.790082,257508506.28,555745907.54,411777650.2,"-","-","-",51395860.177,"-","-",89746080,"-","-","-",193540841.45,"-","-","-","-",58501061.229,"-","-","-"
"BKBR3<XBSP>","Bk Brasil","BKBR3",1475665745.9,741898368.38,-14436972.199,336699947.28,557938280.79,901840183.29,"-",56713055.447,"-",106453383.93,"-",0,1568936,"-","-","-",581027517.78,"-",46969752.301,-10531275.292,22973520.799,22973520.799,"-","-","-"
"BOBR4<XBSP>","Bombril","BOBR4",684476689.03,340450253.88,62702745.821,472732593.34,450402674.97,580639593.03,"-",13563039.454,22261590.72,42802867.424,"-",0,54065000,"-",0,0,-238658579.28,187685873.37,69711840.721,"-","-",101948166.96,-0.76891692559,0.5719020997,3.4714856815
"BBRK3<XBSP>","BR Brokers","BBRK3",426674243.79,20445397.576,-25599727.269,43852027.541,83166878.399,45538177.729,"-",5487151.4947,10972098.871,12244976.954,"-","-",184866000,"-",0,0,293436419.22,236330545.88,827646.26884,"-","-",-28505856.711,24.992738146,-7.5484453619,12.783883779
"BRML3<XBSP>","BR Malls Par","BRML3",22849188713,11686233.068,-160447659.96,2784962469,7167338441.9,676799746.41,"-",9060026.5993,18538835.598,46148718.385,"-",0,869075000,"-",0.48229108199,0.063515827607,12138464059,11445373953,606889535.08,"-","-",-29774326.558,0.83139066611,-0.24853162131,13.16960441
"BRPR3<XBSP>","BR Propert","BRPR3",10064145567,11717090.719,191735113.46,711519011.46,3956733256.3,241028006.02,"-",283229.14926,553233.59115,780978480.69,"-",-7550205.8426,407135283,"-",0.25608615632,0.025428205772,5395893299.5,4042670600.5,251522913.36,"-","-",235610284.24,-1.0236066813,0.50448757359,9.9295511081
"BRAP4<XBSP>","Bradespar","BRAP4",11710851963,4408.2357861,337471388.54,698365937.94,1852062958.5,0,"-",0,0,520750403.7,"-",-211487315.95,348034000,"-",2.2988477256,0.52189393475,9160423067.3,7578076913.4,103159329.74,"-","-",442753283.82,-4.6299714417,2.990981707,22.702414298
"AGRO3<XBSP>","Brasilagro","AGRO3",973440953.05,60332217.027,30097229.829,173195175.8,64656696.333,203041136.19,"-",16560639.789,16560639.789,48267977.74,"-",-35313274.823,53584060,"-",0,0,735589080.92,720444071.11,84468410.015,"-","-",-203880.90511,-0.0055316349719,-0.0024136941262,13.445119147
"BRKM5<XBSP>","Braskem","BRKM5",60141705199,33555581172,3193105591.6,24944535592,28871334723,26967556547,"-",1569554555.8,3142643414.5,6294354570.1,"-",-45184.416807,796022846,"-",0,0,7103720987.2,27807286427,1751012969.5,"-","-",5752429205.8,-1.6724964982,1.4087137484,37.690415971
"BFRE3<XBSP>","Brazilian Fr","BFRE3",182627698.32,0,5587438.8588,6577087.7928,3475893.9173,0,"-",0,0,4408.2357861,"-",0,717,"-","-","-",172574716.61,"-",0,"-","-",-111307.95359,-0.10293062201,"-","-"
"BRFS3<XBSP>","BRF SA","BRFS3",52988787199,13787650088,-494543441.96,14839034160,25209143251,17452285927,"-",995606664.64,1909305002.2,9379515692,"-",0,799005245,"-",0,0,12521537545,34517594440,1860699794.4,"-","-",195508563.29,-0.37931265747,0.24513191402,43.200710704
"BRQB3<XBSP>","Brq","BRQB3",152904066.48,9409379.2854,-3901288.6707,61080515.052,18453977.059,171758090.93,"-","-","-",4712404.0553,"-","-",129970482,"-","-","-",72960710.495,"-",1665211.0682,"-","-",-6523086.9044,-1.6347708895,-0.37799937675,"-"
"CABI3B<XBSP>","Cabinda Part","CABI3B",110205.89465,0,-68327.654684,18735.002091,0,0,"-",0,0,109103.8357,"-",0,7104000,"-","-","-",91470.892561,"-",0,-68327.654684,-68327.654684,-68327.654684,"-","-","-"
"CACO3B<XBSP>","Caconde Part","CACO3B",98083.24624,0,-65021.477845,17632.943144,0,0,"-",0,0,98083.24624,"-",0,1839753,"-","-","-",80450.303096,"-",0,-65021.477845,-65021.477845,-65021.477845,"-","-","-"
"CAIA3B<XBSP>","Caianda Part","CAIA3B",95879.128347,0,-69429.713631,18735.002091,0,0,"-",0,0,95879.128347,"-",0,2060123,"-","-","-",77144.126256,"-",0,-69429.713631,-69429.713631,-69429.713631,"-","-","-"
"CAMB3<XBSP>","Cambuci","CAMB3",261764347.15,66345050.639,-4175701.3484,265176321.65,41714033.185,150024386.45,"-",3361279.7869,6345655.4141,4371867.8408,"-",0,3855000,"-","-","-",-44900085.599,29882594.123,22323306.021,"-","-",16287329.171,-0.36180049352,0.3354105861,"-"
"CRFB3<XBSP>","Carrefour BR","CRFB3",30314335442,10397926160,484905936.47,14907551369,5569805915.7,26644479150,"-",363679452.35,"-",1429370453.6,"-",-123430602.01,1775076589,"-","-","-",8766878919.5,"-",953280988.74,"-","-",1248632786.4,"-","-","-"
"CASN4<XBSP>","Casan","CASN4",3305143108.3,1029254728.3,50099599.709,398251041.5,1380369606.7,549827126.95,"-",0,-45137028.273,4993429.0867,"-",0,715094432,"-","-",0.013859914217,1526522460.1,"-",58732027.437,"-","-",113045900.55,-1.6814984212,1.3109043684,"-"
"CCRO3<XBSP>","CCR SA","CCRO3",31171887182,1203879274.6,1097734467.2,7241637052,14128060668,5219223331.9,"-",596766021.6,1146113752.9,3742461037.4,"-",-443999712.49,2020000000,"-",1.1742855236,0.21870828553,9414833375.1,37622088316,"-","-","-",2258992714.2,-3.241764769,"-",18.624796196
"CEAB3<XBSP>","Cea Modas","CEAB3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CEBR3<XBSP>","Ceb","CEBR3",3411276895.1,123889058.53,64675431.335,1404034118.5,1155090023,1219523001.4,"-","-","-",95687370.09,"-",-11707172.188,14416383,"-","-",0,601415608.29,"-",87328252.981,"-","-",132163317.1,-3.568968604,1.2112028015,"-"
"CEDO4<XBSP>","Cedro","CEDO4",641436878.94,327334650.35,11763377.195,334708526.76,207677498.18,328442219.59,"-",9598933.4242,19473381.585,10373680.863,"-",0,10000000,"-",0,0,76645995.612,45414160.983,44617958.509,"-","-",19597914.246,0.43788171426,-0.38632203097,3.4163827342
"CEED3<XBSP>","Ceee-D","CEED3",3682554215.1,176725070.6,-101938248.43,2056743958.4,3089903281.6,1357058855.9,"-",62993689.383,131380855.25,19289337.741,"-",0,9680746,"-",0,0,-1464093024.9,383968411.05,341264675.44,"-","-",-151912213.42,2.3521875653,-1.0272817703,39.663101485
"EEEL3<XBSP>","Ceee-Gt","EEEL3",4760735952.5,510263210.77,120398837.84,402700053.47,1809425399.9,444729275.51,"-",12868742.318,29696080.373,41041777.227,"-",0,9680746,"-",9.8954923361,14.688450093,2528633476.6,1433362224.6,34455872.963,"-","-",129510661.21,14.555836353,3.9417005617,"-"
"CEGR3<XBSP>","Ceg","CEGR3",3242025988.3,0,141077871.92,1079213264.6,773273986.59,1825085657.5,"-",0,"-",148139865.65,"-",0,259638000,"-",1.8860967565,0.53919035245,1389538737.1,7422434943.9,75200094.275,"-","-",274542720.64,-5.1092193965,3.6608702604,"-"
"CLSC4<XBSP>","Celesc","CLSC4",10089881949,170675869.05,2439958.5076,4970888675,2828851966.6,3518014610.3,"-",119155715.35,245105624.12,1228842011.8,"-",-3306.1768396,38571000,"-",0,0,2290141308.2,765135281.27,335022613.56,"-","-",204884880.81,-2.4561186444,0.78391133117,19.837061037
"GPAR3<XBSP>","Celgpar","GPAR3",1992406859.1,12119342.234,85480100.128,30528134.878,3971000511.4,130244632.47,"-","-","-",319597.09449,"-",0,32774000,"-","-",0,-2009121787.2,"-",4619831.1038,"-","-",83194429.873,49.690398865,84.937533685,"-"
"CEPE5<XBSP>","Celpe","CEPE5",6852426200,0,20241516.671,2394534944,2700170053.7,2790164187.3,"-",112400094.01,218424777.02,17713393.447,"-",0,74612000,"-","-",0.00012317578577,1757721202.3,"-",327260812.4,36771298.81,194471525.82,194471525.82,-1.1476722081,0.53085930135,"-"
