"Código","year","Quarter","NOME","kz","kz_quintile","kz_dum","SETOR_NUM","CLASSE","SETOR_ECONOMATICA","SETOR_NAICS","SEGMENTO_LIST_BOVESPA","SETOR_ECON_BOVESPA","SEGMENTO_BOVESPA","SUBSETOR_BOVESPA","ID_CVM","PU","AT","K","LL","D_CP","D_LP","V","DEP","CAIXA","PL","DESP_FIN","EBIT","V_MERC","QTD_ACOES","DIV_PAGOS","INV_AT","FC_AT","D_AT","CV","TAM","INV_K","FC_K","D_K","ALAVANC","CAIXA_AT","CAIXA_K","DIVIDENDOS_AT","DIVIDENDOS_K","QTB","COB_JUROS","ROA","LN_PU","DIV_PL","ROE","ROK"
"NTCO3",2017,72,"Grupo Natura",2.44139433989625,1,1,3,"ON","Comércio","Comércio atacadista de bens não duráveis variados","Novo Mercado","Consumo não cíclico","Produtos de uso pessoal","Produtos de uso pessoal e de limpeza",2478,346.490038553874,16201742886,2466065886.2,726007819.43,7487000657.9,6944005028.1,10672334767,415242274.3,1833979129.2,1770737199.6,1074350238.4,1471663585.4,15412313695,430389000,118510512.5,0.725238772360022,0.121525747230804,1.39699785996063,0.209532983995539,23.5083846589534,0.274865305272547,0.589984297369021,7.46029883963132,0.890706992938777,0.195290835292108,0.948099714405367,0.0126195639898675,0.0612655734551876,1.84198203804282,1.36981733963377,0.0448104765356662,5.84785406945444,8.14971622511793,0.410003144223774,0.37531932359443
"NTCO3",2018,76,"Grupo Natura",2.51724457272335,1,1,3,"ON","Comércio","Comércio atacadista de bens não duráveis variados","Novo Mercado","Consumo não cíclico","Produtos de uso pessoal","Produtos de uso pessoal e de limpeza",2478,165.088276545207,16057511239,2335312966.2,572552677.31,4768198533.3,8601738980.7,13988004860,615915493.52,1268609821.8,2687573725,2756072816.9,1312090619.3,20234185080,430664000,210541236.05,-0.00890223033502348,0.0733543408997658,0.825216003492626,0.310678981252763,23.4994425670181,-0.0530208542811803,0.481928799015719,5.42156541267514,0.832628251975157,0.0783008242215849,0.514426572663402,0.0129949745241254,0.0853753491454465,2.09273542417852,0.476072551949417,0.0356563771800079,5.10648034019899,4.9747240009202,0.213037012523256,0.232172498112877
"NTCO3",2019,80,"Grupo Natura",2.50058686553472,1,1,3,"ON","Comércio","Comércio atacadista de bens não duráveis variados","Novo Mercado","Consumo não cíclico","Produtos de uso pessoal","Produtos de uso pessoal e de limpeza",2478,158.080664316813,21205261923,4398053614.6,155619277.68,7525787186.7,10313836368,14458838365,1118510492.8,4518002988.4,3365638368.4,3005406872.1,1352571527.9,33506970268,865637000,153087800.56,0.320582100636947,0.0793478984081563,1.11098309627034,0.0336598042188556,23.777515191742,0.883282317297486,0.54559272736504,7.63907185585,0.841282867403131,0.281363837842244,1.93464561443842,0.00953371903537486,0.0655534409202134,2.4214081395999,0.45004606213431,0.0073387104693675,5.06310543639972,5.30051704966176,0.0462376704345631,0.0666374400058345
"GUAR3",2006,28,"Guararapes",1.91646238941344,1,1,17,"ON","Textil","Indústria de roupas de tecido","Tradicional","Consumo cíclico","Tecidos vestuário e calçados","Comércio",466,96.7511024475098,3407614443.3,1470051279.1,396843686.28,940310647.81,308534912.72,3331954666.4,118781634.1,512890237.06,2158768882.8,94123116.729,50856664.668,12580975959,62400000,0,0.0904423889528126,0.165000975173477,0.399632692934198,0.0472613202443655,21.949278306679,0.818035646592562,0.637681981617991,1.5444670389474,0.366486755264953,0.164125743882182,0.634299460856399,0,0,4.05850537073582,0.540320661229556,0.11645791884122,4.57214172665127,0.578498963219352,0.183828704147931,0.490782857740813
"GUAR3",2007,32,"Guararapes",1.41162691696277,2,1,17,"ON","Textil","Indústria de roupas de tecido","Tradicional","Consumo cíclico","Tecidos vestuário e calçados","Comércio",466,113.58053334554,3632390155.5,1601620031.7,350386368.31,965380557.18,226318734.94,3452020662.8,149087432.52,384126931.25,2440690863.4,85605029.323,-14370836.092,7506290682.7,62400000,0,0.065962777168629,0.146575796393884,0.349716586764415,0.0360347028759923,22.0131567135847,0.0894994307141106,0.339766243484914,0.810651512000035,0.328075796128073,0.112726054441184,0.261301722403297,0,0,2.39456380027071,-0.167873735990169,0.0964616556345031,4.73251213020812,0.488263102054598,0.143560322843137,0.238349759148888
"GUAR3",2008,36,"Guararapes",1.11654278264529,2,0,17,"ON","Textil","Indústria de roupas de tecido","Tradicional","Consumo cíclico","Tecidos vestuário e calçados","Comércio",466,174.038621902466,3649584272,1712458533.6,252091327.41,1128733589,77060735.263,3516145490.5,147159126.98,147658015.16,2442523397.6,77749237.771,39690144.584,1926617935.5,62400000,0,0.00473355442668113,0.109913978757341,0.331956170081906,0.0185760266127686,22.0178790999717,0.0692039932732067,0.249279133931801,0.752859167840914,0.330506939414056,0.0406503731259218,0.0921929123246992,0,0,0.858292897576089,0.510489179339636,0.0690739844929932,5.15927723954065,0.493667461055973,0.103209380781246,0.157397711330086
"GUAR3",2009,40,"Guararapes",0.875168811457665,0,0,17,"ON","Textil","Indústria de roupas de tecido","Tradicional","Consumo cíclico","Tecidos vestuário e calçados","Comércio",466,131.44704469045,4003524881.2,1699601161.6,377937201.77,1250993651,106213711.59,3853400772.2,198185354.65,146176214.67,2646317518.7,107696157.38,418146779.15,6767703899.9,62400000,51154968.833,0.0969810758763594,0.157859776205217,0.371879990003968,0.0959161907865313,22.1104410303196,-0.00750813625423718,0.336430077059356,0.792549037515567,0.339003104222668,0.0400528399334356,0.0853604404438935,0.0140166564245321,0.0298722379720693,2.02943943239705,3.88265272710327,0.0944011122660286,4.87860406853784,0.512866408886839,0.14281627170562,0.220698600494276
"GUAR3",2010,44,"Guararapes",1.50188790435939,2,1,17,"ON","Textil","Indústria de roupas de tecido","Tradicional","Consumo cíclico","Tecidos vestuário e calçados","Comércio",466,92.7765544255574,5280938421.2,2279409355.6,562884910.33,1160944816.1,871479715.81,4345815775.8,181462250.67,218376916.13,3248513889.3,99154527.759,758262855.1,8276310321.1,62400000,0,0.319072212089541,0.185922951171192,0.507658773760589,0.127787124337671,22.3873696501601,0.341143679529008,0.437954019929754,1.19582439564626,0.384860486868604,0.054546161847393,0.12848715396524,0,0,1.95206496095963,7.64728421623867,0.106588046562015,4.53019396159539,0.625647481023377,0.173274589400414,0.331186470712989
"GUAR3",2011,48,"Guararapes",1.19087761289351,2,0,17,"ON","Textil","Indústria de roupas de tecido","Tradicional","Consumo cíclico","Tecidos vestuário e calçados","Comércio",466,133.884857654572,5806162703.1,2067677340.8,569283852.35,1286081584.4,1017955605.2,4765817632,193477215.73,173209351.26,3502125513.5,90942536.849,750092479.33,7615234672.7,62400000,46931825.124,0.0994566192613647,0.144436652587719,0.43629313690737,0.0966451128781877,22.4821857254252,-0.0928889820864434,0.334631015796292,1.01080448052891,0.396826149630605,0.0327989719714704,0.0759886989295991,0.00888702374100692,0.0205894676218201,1.7084040474794,8.24798279572347,0.0980482086811054,4.89698015933123,0.657896806016344,0.162553812008029,0.249750599185441
"GUAR3",2012,52,"Guararapes",1.29817661662177,2,0,17,"ON","Textil","Indústria de roupas de tecido","Tradicional","Consumo cíclico","Tecidos vestuário e calçados","Comércio",466,117.530190149943,6268950254.9,2128961803.6,540391012.23,1471080601.3,1062331465.6,5242015005.9,221184961.97,439404470.77,3735538188,108811139.47,745804079.97,10667719582,62400000,49363116.721,0.0797062665076385,0.131166833095012,0.436331566379869,0.0999193445218257,22.5588747541134,0.0296392776526189,0.368324379811282,1.22524535956843,0.404120620500986,0.0756789799458074,0.212511140930717,0.00850184868134065,0.0238737039609386,2.10579620385113,6.85411515404288,0.0862011964136442,4.76669523802776,0.678191987178261,0.144662157106557,0.261351711684822
"GUAR3",2013,56,"Guararapes",0.892928586616436,0,0,17,"ON","Textil","Indústria de roupas de tecido","Tradicional","Consumo cíclico","Tecidos vestuário e calçados","Comércio",466,137.888738632202,6641568047.7,2331605717.1,587046574.04,1732073809.4,960635116.95,5679591577.4,243904379.36,325098828.65,3948859121.4,108380234.1,798116409.99,8731498460.7,62400000,105892937.88,0.059438626508282,0.132550254765621,0.429531072486227,0.083474879604026,22.6166139243174,0.0951843819637047,0.390308060950126,1.26479907802795,0.405432709111853,0.0518585752687849,0.152702987954161,0.0168916538773347,0.0497392380177694,1.72010695441211,7.36404028481426,0.0883897552240388,4.92644711817385,0.681895414236846,0.148662323975709,0.275743121857482
"GUAR3",2014,60,"Guararapes",0.804050768652647,0,0,17,"ON","Textil","Indústria de roupas de tecido","Tradicional","Consumo cíclico","Tecidos vestuário e calçados","Comércio",466,148.63472366333,7793381685,2403736251.6,629778525.38,2155580347.3,1472019252.7,6202066421,277460130.94,470904755.49,4165782085.1,131533215,829850050.24,6301820159.8,62400000,132801665.63,0.17342495462331,0.136600069411949,0.546196255755635,0.0919916223692934,22.7765407085374,0.0309359914375722,0.389104662793675,1.55583749576319,0.465471825528003,0.0709026471020012,0.201965860709803,0.0199955288685162,0.0569571710414125,1.2740835956888,6.3090531942065,0.0808094035214701,5.0014917770144,0.870808776333993,0.151178941316342,0.270105069978686
"GUAR3",2015,64,"Guararapes",1.04208668190144,2,0,17,"ON","Textil","Indústria de roupas de tecido","Tradicional","Consumo cíclico","Tecidos vestuário e calçados","Comércio",466,249.816769917806,8335542835.3,2467789841.6,415086111.66,3218562171.4,1098915338.9,6527436669.6,297217135.08,435400992.38,4018065325.1,363922005.98,561862902.76,3492689797,62400000,135345226.07,0.069566867402825,0.0913984808560034,0.553992821705357,0.0524615872378127,22.843794478239,0.0266475117465005,0.296331698731868,1.79615276319361,0.517959969201312,0.0558680441916531,0.181135094206024,0.0173666877281913,0.0563061883265729,0.936971647992126,1.54391021572594,0.0497971301763529,5.52072772881606,1.07451650507761,0.103304968455103,0.172683717435183
"GUAR3",2016,68,"Guararapes",1.1532202182963,2,0,17,"ON","Textil","Indústria de roupas de tecido","Tradicional","Consumo cíclico","Tecidos vestuário e calçados","Comércio",466,308.932376861572,8609524460.2,2222564674,354105346.32,3395866825.5,1181017620.5,6603310725,318991543.34,687314584.35,4032640014.2,400577693.46,450096530.17,4098790765.9,62400000,129389942.55,0.0328690800723526,0.0807502166277063,0.549080550173344,0.0116238669542924,22.8761349227574,-0.0993703610681075,0.272752921789967,1.85464919615382,0.531607113396096,0.0824558877484628,0.278514228709353,0.0155226774196456,0.0524315078897114,1.00768343849951,1.12361855769421,0.0411294895504338,5.73312240783948,1.13495983521553,0.0878098082330931,0.143490884171245
"GUAR3",2017,72,"Guararapes",1.4530809036109,2,1,17,"ON","Textil","Indústria de roupas de tecido","Tradicional","Consumo cíclico","Tecidos vestuário e calçados","Comércio",466,346.490038553874,8645764817.8,2001349001.4,617771344.81,3059658309.2,1226229439.5,6980777093.3,325057127.19,444417942.25,4359877069.2,256784872.69,962546825.79,9761086597.8,62400000,84133375.93,0.00420933325267033,0.109509935927181,0.497807720799534,0.0571631994949019,22.8803354215496,-0.0995317145043402,0.424207440633514,1.9283523214587,0.495721065628178,0.0516193367362448,0.199957259938884,0.00977212810288544,0.0378541857135627,1.62472316128469,3.74845611311388,0.0714536374547368,5.84785406945444,0.98302949387663,0.141694670515872,0.277954271494014
"GUAR3",2018,76,"Guararapes",1.11110978453056,2,0,17,"ON","Textil","Indústria de roupas de tecido","Tradicional","Consumo cíclico","Tecidos vestuário e calçados","Comércio",466,165.088276545207,10933781881,1966791673.2,1290145058.4,4110618945.1,1676728971,7509660465.8,304069063.12,800517554.82,5146433965.7,174617504.53,1472249675.4,10514349059,62400000,146134945.87,0.264640215344443,0.184392492175801,0.669385304604278,0.0757628220227245,23.1151230885281,-0.0172670174846197,0.796569773889912,2.89172348853278,0.529308886775346,0.0925907159967948,0.399988984559922,0.0169024891319199,0.0730182220930855,1.4909477024988,8.43128344642597,0.117996231536494,5.10648034019899,1.12453554338238,0.250687187866117,0.644637720606205
